,id,tweet,clean_tweet
0,15923,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL"," whoisq  wherestheserver  dumpnike  declasfisa democrats support antifa, muslim brotherhood, ms13, isis, pedophilia, child trafficking, taxpayer funded abortion s, election fraud, sedition and treason!!!  lockthemallup  wwg1wga  qanon    url"
1,60133,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL, nopasaran  unity demo to oppose the far right in  london    antifa  oct13   enough is enough! url
2,83681,. . . What the fuck did he do this time?,      what the fuck did he do this time?
3,65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,  do you get the feeling he is kissing   behind so he can humiliate him later?
4,12588,@USER Nigga ware da hits at,  nigga ware da hits at
5,34263,#StopKavanaugh he is liar like the rest of the #GOP URL, stopkavanaugh he is liar like the rest of the  gop url
6,49139,"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! No one votes for a woman that gross!""","    put delauro in a police lineup identifying the bag lady""   she would be picked everytime! she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! no one votes for a woman that gross!"""
7,58995,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!"," at all family friends , do not tell me  bad shit that your bf gf did to you just to go right back to them!!!"
8,88490,#ChristineBlaseyFord is your #Kavanaugh accuser... #Liberals try this EVERY time... #ConfirmJudgeKavanaugh URL, christineblaseyford is your  kavanaugh accuser     liberals try this every time     confirmjudgekavanaugh url
9,46444,"#ArianaAsesina? Is that serious?! Holy shit, please your fucking assholes, don't blame someone for the death of other one. She is sad enough for today, don't you see? It isn't fault of none, he had an overdose and died. End. Stop wanting someone to blame, fuckers."," arianaasesina? is that serious?! holy shit, please your fucking assholes, do not blame someone for the death of other one  she is sad enough for today, do not you see? it is not fault of none, he had an overdose and died  end  stop wanting someone to blame, fuckers "
10,60587,@USER How is she hiding her ugly personality. She is the worst.,  how is she hiding her ugly personality  she is the worst 
11,70569,......bitch what URL,      bitch what url
12,44546,@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But don’t worry about the actual crime.  The pic of black guns is worse.,                  i m shocked to learn human traffickers had guns   some probably illegal too   ca needs more gun control   but don t worry about the actual crime   the pic of black guns is worse 
13,51628,#Conservatives @USER - You're  a clown!  URL, conservatives     you are  a clown!  url
14,30899,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”, voice in my head while i transfer money to my credit card   bullshit that i bought and have to pay for 
15,40110,#Kids Beating #Paraplegic #Trump #Boy!  #Left Teach Their #Children Hate Violence!  #schools #teachers #Democrats #Liberals #WalkAway #Moms #Mother #NEA #teachthemyoung #Christian #Catholic #Jews #Evangelicals #family #BlackWomen #BlackTwitter #Blacks #News #Media #Disabled #MAGA URL, kids beating  paraplegic  trump  boy!   left teach their  children hate violence!   schools  teachers  democrats  liberals  walkaway  moms  mother  nea  teachthemyoung  christian  catholic  jews  evangelicals  family  blackwomen  blacktwitter  blacks  news  media  disabled  maga url
16,15998,*gets all the bitches*, gets all the bitches 
17,96457,#Antifa: Take note of how to protest with civility.   This is why socialism (aka communism) will never win. It is inherently evil and unsustainable. URL, antifa  take note of how to protest with civility    this is why socialism (aka communism) will never win  it is inherently evil and unsustainable  url
18,70841,@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,  omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i 
19,46139,"#Conservatism101   It's not about our disagreements with #Conservatives. Its that Conservatives can't debate honestly, and they have no integrity. Whatever gets them thru today, is all that matters to them. They're fundamentally dishonest people. URL"," conservatism101   it  not about our disagreements with  conservatives  its that conservatives can not debate honestly, and they have no integrity  whatever gets them thru today, is all that matters to them  they are fundamentally dishonest people  url"
20,80947,And apparently I'm committed to going to a new level since I used the key.  Well FUCK.  Curiosity killed the Cat(hy),and apparently i am committed to going to a new level since i used the key   well fuck   curiosity killed the cat(hy)
21,40386,@USER @USER @USER @USER Then why aren’t there so many shootings in Virginia?  Jacksonville shooter got his guns IN MARYLAND!! Among the poster children for gun control!  What good did that do?!  You’re full of crap.,        then why aren t there so many shootings in virginia?  jacksonville shooter got his guns in maryland!! among the poster children for gun control!  what good did that do?!  you re full of crap 
22,98916,"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL"," antifa are bedfellows with the democratic socialists of america (dsa) who  jamesokeefe has exposed as being inserted throughout government, attempting to bring down  america   trump  maga    deepstate  url"
23,32190,@USER Antifa has TS level influence. It's scary.,  antifa has ts level influence  it  scary 
24,27550,"@USER I have three accounts. Two quasi-anonymous, and one completely anon. And if twitter ever bans one of the quasi-anon, I'll make two anon accounts and tweet the most insane shit. I will drown twitter in bullshit. If one of those is banned, I'll make even more.","  i have three accounts  two quasi anonymous, and one completely anon  and if twitter ever bans one of the quasi anon, iwill make two anon accounts and tweet the most insane shit  i will drown twitter in bullshit  if one of those is banned, iwill make even more "
25,24040,#Liberals are so pathetic!  INNOCENT UNTIL PROVEN GUILTY mean much?  #Democrats should look at their own party if they need a rapist to hang!  #KavanaughIsInnocent #WalkAwayFromDemocrats. #LiberalLies are straight from the Pitts of HELL 🔥 URL, liberals are so pathetic!  innocent until proven guilty mean much?   democrats should look at their own party if they need a rapist to hang!   kavanaughisinnocent  walkawayfromdemocrats   liberallies are straight from the pitts of hell   url
26,73516,"$10 Million reallocated from FEMA to ICE. This guy gives zero shits about anyone not named Trump. If you’re in the mid Atlantic, get out. Now. URL"," 10 million reallocated from fema to ice  this guy gives zero shits about anyone not named trump  if you re in the mid atlantic, get out  now  url"
27,88905,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL, fortnitebattleroyale  xboxshare     please ban this cheating scum   he is literally invisible url
28,42112,#SesameStreet #BertandErnie the conversation about this is so unattractive. The creator says he didn't create a character gay and he is being attacked., sesamestreet  bertandernie the conversation about this is so unattractive  the creator says he did not create a character gay and he is being attacked 
29,37740,#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to..., serenawilliams is so full of herself   she is just as painful to watch as to listen to   
30,72405,"#ColinKapernaeck has done nothing but sit on his ass and complain. It’s time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU! Colin is not a Civil Rights hero or martyr. No where near it."," colinkapernaeck has done nothing but sit on his ass and complain  it s time black people and die hard white liberals, who think they are down with the cause aka   to wake the heck up or stfu! colin is not a civil rights hero or martyr  no where near it "
