,id,tweet,subtask_a,subtask_b,subtask_c,clean_tweet
0,86426,@USER She should ask a few native Americans what their take on this is.,OFF,UNT,,  she should ask a few native americans what their take on this is 
1,90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF,TIN,IND,    go home you re drunk!!!    maga  trump2020      url
2,16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT,,,amazon is investigating chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace  url  amazon  maga  kag  china  tcot
3,62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF,UNT,,"  someone should'vetaken"" this piece of shit to a volcano   """
4,43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT,,,    obama wanted liberals  andamp  illegals to move into red states
5,97670,@USER Liberals are all Kookoo !!!,OFF,TIN,OTH,  liberals are all kookoo !!!
6,77444,@USER @USER Oh noes! Tough shit.,OFF,UNT,,    oh noes! tough shit 
7,52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF,TIN,GRP,  was literally just talking about this lol all mass shootings like that have been set ups  it s propaganda used to divide us on major issues like gun control and terrorism
8,45157,@USER Buy more icecream!!!,NOT,,,  buy more icecream!!!
9,13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF,TIN,IND,  canada doesn t need another cuck! we already have enough  looneyleft  liberals f  king up our great country!  qproofs  trudeaumustgo
10,82776,@USER @USER @USER It’s not my fault you support gun control,NOT,,,      it s not my fault you support gun control
11,42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT,,,  what s the difference between  kavanaugh and     one of these men admitted to groping a 15 year old girl years ago   the other is going to be  confirmed to the scj    demsarefrauds  demsaredone    walkawaydemocrats2018  redwave  voteredsaveamerica  trumptrain  maga url
12,28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF,TIN,IND,  you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!!  deepstatecorruption url
13,54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT,,,      it should scare every american!  she is playing hockey with a warped puck!
14,56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT,,,                                                                                                    i like my soda like i like my boarders with a lot of ice 
15,86735,@USER you are also the king of taste,NOT,,,  you are also the king of taste
16,95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT,,, maga      sing like no one is listening     love like you've never been hurt     vote gop when no one is watching     and do not listen to liberals' dirt url
17,71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT,,,"5 5    the time is right for this house to respond to the concerns of all canadians  four out of five canadians support stronger gun control and with good reason    guncontrol  cdnpoli  cdnhist"""
18,23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT,,,  besides jax s mom and maybe ope he is hands down my favorite he s like the only good person on the show  
19,28195,@USER @USER @USER gun control! That is all these kids are asking for!,OFF,TIN,OTH,      gun control! that is all these kids are asking for!
20,56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,OFF,TIN,IND,        lol!!!   throwing the bullshit flag on such nonsense!!   putuporshutup    kavanaugh    maga    callthevotealready url
21,67757,@USER @USER You are correct.,NOT,,,    you are correct 
